uid,agency,bureau,name,stage,impact_status,description,topic_area,classification,vendor,contracting,withheld,operational_date,has_pii,demographic_features,justification,hi_assessment_completed,hi_testing_conducted,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DHS-2429,DHS,TSA,TSA Case Handling Platform,Pre-deployment,not-high-impact,"The tool saves case workers manual time to download reports, order, and compile. The case workers can then use their time to work on cases rather than administrative tasks. Newton POC has the potential of streamlining collection processes related to cases, and creating custom reports from various materials during the case managers interview process, producing a centralized tool to manage and control all steps within each case.",Admin Functions,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2430,DHS,TSA,Automated Field Data Collection,Pre-deployment,not-high-impact,"The AI will analyze screening environments via CCTV footage and extract passenger processing times of various steps within the screening processes. Enabling AI to extract and visualize this data will enable TSA to make data informed decisions while testing or deploying new screening equipment, identify anomalies, establish real-world rates and standards, and reduce or eliminate TSA’s need to deploy data collection teams, resulting in real-time data collection and significantly reduced computational time of findings.",Transportation,Computer Vision,,,,,,[],,,,,,,,,,[]
DHS-2431,DHS,TSA,Plan of Day Staff Optimization,Pre-deployment,not-high-impact,Plan of Day will automate TSA screening staff optimization.,Transportation,Agentic AI,,,,,,[],,,,,,,,,,[]
DHS-2526,DHS,TSA,Document Translation Service (DTS),Pre-deployment,not-high-impact,"The DTS application allows users to upload a document in a source language, call a Text Translator API specific to the application, and then download a translated copy of their artifacts.",Admin Functions,NLP,,,,,,[],,,,,,,,,,[]
DHS-2622,DHS,TSA,Service Now Predictive Intelligence Tool,Pre-deployment,not-high-impact,"This tool assists in preventing wasted time in working through Projects, Demands, or Ideas that have already been processed.",IT,Classical ML,,,,,,[],,,,,,,,,,[]
DHS-2676,DHS,TSA,Text Extraction from Uploaded Images,Pre-deployment,not-high-impact,"By making images into text, they are searchable and can ensure data quality and maintenance ticketing information quality.",Transportation,Computer Vision,,,,,,[],,,,,,,,,,[]
DHS-374,DHS,TSA,TSA Contact Center Virtual Assistant,Pre-deployment,not-high-impact,"The three goals for TSA's Virtual Assistant Chatbot are: 1. Enhanced Accessibility and Timeliness: By providing immediate responses both within and outside the TSA Contact Center's (TCC) operational hours, the Virtual Assistant improves ease of access for the public seeking answers to common questions. 2. Data-Driven Innovation and Transformation: The chatbot captures customer inquiries, providing valuable data to inform innovation and transformation priorities across the agency. 3. Improved Fiscal Responsibility: Leveraging automation to address increasing demand mitigates the need for additional resources, thereby enhancing fiscal responsibility.",Service Delivery,NLP,,,,,,[],,,,,,,,,,[]
DHS-135,DHS,TSA,Low Probability of False Alarm (Low-Pfa) Algorithm for on-person screening.,Deployed,high-impact,"The purpose is to reduce alarm rates while providing increased passenger throughput and experience. Utilizes Machine Learning (ML) to improve detection performance while decreasing alarm rates and passengers touch rates. The algorithm is gender agnostic which no longer requires officers to select a passengers gender prior to being scanned. Advanced imaging technology (AIT) throughput and AIT utilization have increased with this new algorithm. Note: Once the algorithm is trained, it is locked down and no longer learning.",Transportation,Computer Vision,"Leidos, Rohde & Schwarz",Vendor Purchased,,2022-12-12 00:00:00,No,[],,Yes,Yes,Security risks include false negatives allowing threats to get throught the sterile side of the airport or high false alarm rates slowing opperations.,CAIO Review,Yes - Monitoring Established,Training Established,Yes,Appeal Process Established,"['a) Direct usability testing', 'b) General solicitations of feedback and comments from the public']"
DHS-327,DHS,TSA,Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor),Deployed,high-impact,"The Transportation Security Administration (TSA) uses AI-based, one-to-one (1:1) and one-to-many (1:n) facial matching technologies at some checkpoints to assist human reviewers with traveler identity verification. The purpose and expected benefits of the technology include increased speed and accuracy of identity verification at the checkpoint while improving detection of imposters.",Transportation,Classical ML,"IDEMIA Identity, Security USA LLC",Vendor Purchased,,2023-09-01 00:00:00,Yes,[],,Yes,Yes,"In the event of a non-match, the traveler may make a second attempt ot the TSA perform additional identity verification steps to verify the identity of the traveler. This process may add between 20 seconds or a few minutes to the identity verification and security screening process.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Appeal Process Established,['Usability Testing']
DHS-345,DHS,TSA,PreCheck Touchless Identity Solution,Deployed,high-impact,"TSA is using Facial Comparison to verify a passenger’s identity at its security checkpoints locations using the CBP Traveler Verification Service (TVS). This process streamlines passenger identity verification, increasing the speed of security checks while maintaining a high degree of safety for all passengers and crewmembers.",Transportation,Classical ML,"CBP TVS, NEC Algorithm",Contracting and In House,,2018-10-01 00:00:00,Yes,[],,Yes,Yes,"The key risk is the degradation of the TVS verification to degrade overtime based on the parameters of assessment for comparing images to templates. The facial recognition does not enter or retrieve data, it is only comparative.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,"['a) Direct usability testing', 'b) General solicitations of feedback and comments from the public']"
DHS-2432,DHS,TSA,Airport Throughput Predictive Model,Deployed,not-high-impact,This project was to create a predictive model for the passenger volume using the Security Operations throughput count from checkpoints to help with airport staffing.,Admin Functions,Classical ML,,In-house Development,,2024-04-01 00:00:00,No,[],,,,,,,,,,[]
DHS-2518,DHS,TSA,Geographic Current Events Real-Time Alerting Tool,Deployed,not-high-impact,"To provide real-time, actionable information by leveraging advanced artificial intelligence (AI) and machine learning algorithms to aggregate and summarize large amounts of publicly available data from social media, news, and other sources. The benefit of this product is that it produces real-time alerts based on a geographic location to include, predictive insights, detection of early signals of significant events, trends, or crises.",Transportation,NLP,First Alert/Dataminr,Vendor Purchased,,2025-01-01 00:00:00,No,[],,,,,,,,,,[]
DHS-2522,DHS,TSA,idiCORE Subscriptions,Deployed,not-high-impact,"Significantly enhances efficiency by saving analysts time in forming relative and associate interrelationships. It eliminates much of the guesswork, enabling analysts to focus on critical decisions and actions.",Transportation,NLP,idiCORE,Vendor Purchased,,2025-07-17 00:00:00,No,[],,,,,,,,,,[]
DHS-2604,DHS,TSA,AskTSA,Deployed,not-high-impact,"The AI’s intended purpose is to enhance the efficiency, accuracy, and overall effectiveness of the AskTSA customer service process. It would assist human agents by automating routine tasks such as categorizing inquiries and summarizing customer concerns, enabling faster and more consistent communication with the public. Additionally, the AI would analyze interactions with the virtual assistant to identify areas for improvement and recommend adjustments to ensure it provides accurate and helpful responses. By streamlining workflows and providing actionable insights, the AI would support TSA’s goal of delivering high-quality, timely, and reliable customer service.",Service Delivery,Generative AI,Sprinklr,Vendor Purchased,,2024-12-16 00:00:00,Yes,[],,,,,,,,,,[]
DHS-2605,DHS,TSA,Lexis Nexis,Deployed,not-high-impact,Lexis Nexis assists TSA Analysts in identity verification for passenger screening and bolster transportation security.,Transportation,Generative AI,REX DBA Lexis Nexis,Vendor Purchased,,2024-09-23 00:00:00,No,[],,,,,,,,,,[]
DHS-2609,DHS,TSA,SITE Group Subscription Services,Deployed,not-high-impact,AI-integration within Site group enhances its capabilities in monitoring and analyzing extremist activities online.,Transportation,NLP,SITE,Vendor Purchased,,2025-09-20 00:00:00,No,[],,,,,,,,,,[]
DHS-2395,DHS,TSA,Conversation Training and Feedback Simulator,Retired,not-high-impact,,,,,,,,,[],,,,,,,,,,[]
DHS-2740,DHS,USCG,Risk Management Framework (RMF) Automation,Pre-deployment,not-high-impact,"RMF Automation will cut ATO processing time by more than half by handling repetitive tasks so compliance teams can focus on strategy and still make final decisions. It will speed up documentation and assessments, provide near real-time risk insights, and help collect and manage security evidence to demonstrate compliance.",IT,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2745,DHS,USCG,FLIR 280 HD,Pilot,high-impact,Enhanced ability to detect persons in the water to more rapidly deploy life-saving resources.,Other,Computer Vision,FLIR,Contracting and In House,,2024-09-15 00:00:00,No,[],,In-progress,In-progress,"There are no impacts to privacy, civil rights, or civil liberties of the public, the AI can only recognize whether or not an object is a person but cannot identify any features of that person",In-progress,In-progress,Training In-progress,Yes,Not Applicable,['Other']
DHS-178,DHS,USCG,Adaptive Risk Model for Inspected Small Passenger Vessels,Deployed,not-high-impact,"The Small Passenger Vessels Safety Task Force uses machine learning and expert input to build a flexible analysis tool that identifies the main causes of marine casualties and calculates a risk score for each vessel in the largest segment of the U.S.-inspected fleet. By using a logistic regression–based model with basic machine learning, this effort improves how inspectors are allocated, sharpens the focus on higher-risk vessels, and strengthens oversight to improve passenger safety.",Admin Functions,Classical ML,,In-house Development,,2021-01-01 00:00:00,No,[],,,,,,,,,,[]
DHS-2305,DHS,USCIS,USCIS Document Translation Service,Pre-deployment,high-impact,"Integrate AI and GenAI models trained on relevant subject matter (e.g., immigration law, visa/immigration applications, family/adoption certificates, and other sourced processing materials) to provide fast, accurate translation of written or other digital documents in various languages. Real-time Interpretation: Utilizing AI and GenAI-powered speech-to-speech, speech-to-text translation tools for efficient communication, consultations, and other interactions within DHS. Across all DHS components the need to support language translation and transcription is crucial for operations and adjudications.",Service Delivery,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-2514,DHS,USCIS,USCIS Speech Translation Service,Pre-deployment,high-impact,Reduce the manpower needed to verbally communicate with applicants and ensure that they are directed in an accurate and efficient manner.,Service Delivery,NLP,,,,,,[],,,,,,,,,,[]
DHS-2627,DHS,USCIS,Extended Automated Name Harvesting (eANH),Pre-deployment,declassified,"Since users no longer need to read through the entire set of case evidence, which is often hundreds of pages, this should decrease case processing time while retaining the same or better performance.",Benefits Processing,NLP,,,,,,[],"No. The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The use case increases efficiency of tasks associated with the accurate and timely identification, analysis, and review of biographical information needed for adjudication. The AI outputs are suggested aliases and DOBs related to the individual query, which USCIS staff must review to accept, reject, or ignore the suggested information. The AI outputs reduce the amount of adjudicative time spent manually harvesting aliases and DOBs. The use case increases efficiency of tasks associated with reviewing existing records for adjudicating requests for immigration benefits. Completing such adjudications are not dependent on the use case however lack of this tool would significantly increase human processing times and potentially reduce the accuracy of information consulted during the human review process.",,,,,,,,,[]
DHS-2386,DHS,USCIS,Sentiment Analysis -FOD Field Offices Complaints and Reviews,Pre-deployment,not-high-impact,This system indicates the positive or negative feelings people express in their feedback to the U.S. Citizenship and Immigration Services (USCIS). Survey results categorized to specify the sentiments as positive negative or neutral tone in an excel dashboard.,Admin Functions,Classical ML,,,,,,[],,,,,,,,,,[]
DHS-2599,DHS,USCIS,Private Artificial Intelligence (AI) Tech Hub (PAiTH),Pre-deployment,not-high-impact,"The purpose of PAiTH is to provide USCIS employees with an internal, secure AI assistant that delivers role-specific support for knowledge work tasks. The system will offer six persona-based assistants aligned to core USCIS job functions, each trained and prompted to provide relevant, accurate responses for that role's responsibilities. Intended benefits of PAiTH include: Increased Efficiency: Staff can quickly obtain research, draft language, translations, and technical guidance without manual searching through documents or external research; Role-Specific Accuracy: Persona-based responses tailored to each user's organizational function (legal, contracting, development, etc.) provide more relevant and useful outputs than generic AI; Data Security and Compliance: Internal deployment protects PII and sensitive USCIS data while maintaining compliance with federal security and privacy requirements; Controlled Access to USCIS Knowledge: AI can leverage USCIS-specific documents, policies, and data sources that are inaccessible to commercial AI tools, keeping sensitive information within USCIS boundaries; Standardization: Consistent AI-assisted workflows across the agency reduce variability in research and drafting quality; and Cost Savings: Reduces time spent on routine knowledge tasks, allowing staff to focus on complex decision-making and judgment-based work.",Admin Functions,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-130,DHS,USCIS,Text Analytics Data Science Sentence Similarity Model,Deployed,high-impact,"Text Analytics augments the tedious and time-consuming manual process to identify potential fraud, national security, and/or public safety concerns and enables the identification of such concerns across jurisdictional boundaries. It increases the integrity of immigration programs, strengthens officers’ confidence in their work, and contributes to the reduction in customer wait times.",Law Enforcement,Classical ML,Inadev,Contracting and In House,,2019-11-01 00:00:00,Yes,[],,Yes,Yes,"There is small risk of false positives or false negatives due to the model. The risk is mitigated through a manual review of any information produced from the tool. Text Analytics is a decision support tool. Text Analytics does not make recommendations of fraud or benefit / adjudication decisions, any decisions made from information stored in the tool is conducted through a manual review by a USCIS employee.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Appeal Process Established,['Usability Testing']
DHS-181,DHS,USCIS,Automated Realtime Global Organization Specialist (ARGOS) for Company Registration Submissions to E-Verify,Deployed,high-impact,"ARGOS sentiment analysis produces a risk score and keyword extraction identifies the keyword category of interest to the VAC MPAs (management and program analyst) for the aggregated open-source information to help quickly identify any pertinent information to aid the MPAs in their open-source investigation of company applications. This saves potentially thousands of MPA man hours in open-source investigation and creates a single source-of-truth for each MPAs investigation of a company application. This, in turn, allows for quicker application processing and, if risk of company fraud exists, much faster referral processing time quickening the next-step referral to FDNS for further investigations.",Admin Functions,NLP,IBM,Contracting and In House,,2023-08-12 00:00:00,No,[],,Yes,Yes,"Lack of Domain-Specific Accuracy: model tested on company data across different industries resulted in inconsistent performance. Limited Generalization to Unseen Data: model’s performance on validation datasets lower than on training data, indicating potential overfitting. Misinterpretation of Sentiment: instances of sarcasm/irony not recognized. All risks identified in testing and evaluation phases.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,['Public Feedback Solicitations']
DHS-2384,DHS,USCIS,Verification Match Model,Deployed,high-impact,"Leveraging AI in the USCIS verification matching process of known records across systems is beneficial because it streamlines existing USCIS review by 1) improving associated system accuracy, 2) reducing human-error by automating person-and-record match scoring, and 3) matching at a higher volume than traditional tools or manual processes can capably achieve.",Admin Functions,Classical ML,IBM,Contracting and In House,,2024-05-22 00:00:00,Yes,[],,In-progress,Yes,"Model-match performance in terms of accuracy, precision, and recall. Identified via model evaluation and analysis for these performance statistics.",In-progress,Yes - Monitoring Established,Training In-progress,Yes,Appeal Process Established,['In-progress']
DHS-413,DHS,USCIS,I-765 - USCIS Facial Recognition through IDENT (1:1 Face Recognition/Validation),Deployed,high-impact,This will allow the user to complete the biometric verification requirement without having to attend an appointment at am Applicant Support Center. This reduces the burden on the beneficiary as well as reducing demands on USCIS Applicant Service Center resources.,Law Enforcement,Computer Vision,Pluribus Digital,Contracting and In House,,2024-11-12 00:00:00,Yes,[],,Yes,Yes,Potential mismatch of face images and/or bias based on demographic data held by USCIS,CAIO Review,Yes - Monitoring Established,Training Established,Yes,Appeal Process Established,"['b) General solicitations of feedback and comments from the public', 'd) Other']"
DHS-55,DHS,USCIS,Person-Centric Identity Services Deduplication Model,Deployed,high-impact,"Using Machine Learning allows us to improve entity resolution as compared to rule based system. PCIS offers the ability to see a person's immigration history organized in one place. Specific benefits do or will include: an organized summary view of the identity with the individual's latest photo from PCIS; full immigration history including receipts associated with the applicant, regardless of case management system; mailing, physical, and safe history of the individual organized in reverse chronological order, allowing users to easily find the most recent address; and all identifiers associated with the applicant, including A-Numbers, FINs, SSNs, SSNs, ELIS account numbers, passport numbers, etc.",Law Enforcement,Classical ML,MetroIBR,Contracting and In House,,2023-02-01 00:00:00,Yes,[],,Yes,Yes,"There is small risk of false positives or negatives, which are identified and sent to Manual Resolution Queue. The queue is processed by authorized and trained personnel. Human review is still done for the actual benefit or request being sought. AI is used to identify the person seeking the benefit or request.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Not Applicable,['Usability Testing']
DHS-14,DHS,USCIS,Biometrics Enrollment Tool (BET) Fingerprint Quality Check,Deployed,declassified,"BET assists in determining if the fingerprint taken is good enough quality to pass the FBI fingerprint check process. It provides immediate feedback when a set of prints is likely to be rejected by the FBI by incorporating machine learning models into the BET application. The FBI will not disclose their quality grading criteria for fingerprints, leaving BET with the responsibility of determining quality to prevent unnecessary secondary encounters with applicants.",Law Enforcement,Classical ML,Pluribus Digital,Contracting and In House,,2024-01-01 00:00:00,Yes,[],"The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. This tool simply identifies whether a fingerprint collected is of sufficient quality to pass the FBI fingerprint check process, ultimately maximizing the number of successful FBI submissions while minimizing the number of fingerprint recaptures necessary. This quality assurance step is one task in a series of adjudication activities but is not determinative of the overall adjudication decision. The tool saves personnel time and resources while enhancing customer experience by helping to ensure that only quality fingerprints are passed forward for matching against the FBI Identity History Summary Check. Results of FBI fingerprint checks are subsequently reviewed by a human as part of the immigration adjudicative process.",,,,,,,,,[]
DHS-180,DHS,USCIS,Automated Name and Date of Birth (DOB) Harvesting Service,Deployed,declassified,To reduce the amount of adjudicative time spent manually harvesting aliases and dates of birth (DOBs) from identity history summary (IdHS) report attached to the ELIS case as part of the Manual Name Harvesting Task during case processing.,Service Delivery,Classical ML,SAIC and DV United,Contracting and In House,,2022-06-27 00:00:00,Yes,[],"The use case improves case processing efficiency by reducing the amount of time USCIS staff must spend to manually find aliases and dates of birth (DOBs) in existing records of an individual. The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The use case increases efficiency of tasks associated with accurate and timely identification, analysis, and review of biographical information needed for adjudication. The AI outputs are suggested aliases and DOBs related to the individual query, which USCIS staff must review to accept, reject, or ignore the suggested information. The AI outputs reduce the amount of adjudicative time spent manually harvesting aliases and DOBs. The use case increases efficiency of tasks associated with reviewing existing records for adjudicating requests for immigration benefits. Completing such adjudications are not dependent on the use case however lack of this tool would significantly increase human processing times and potentially reduce the accuracy of information consulted during the human review process.",,,,,,,,,[]
DHS-189,DHS,USCIS,ELIS Card Photo Validation Service,Deployed,declassified,"Ensuring beneficiary uploaded photos meet USCIS requirements. This helps ensure photos are correct before making ID cards, saving adjudicator time and avoiding delays.",Service Delivery,Computer Vision,SAIC and DV United,Contracting and In House,,2022-03-15 00:00:00,Yes,[],"This use case supports beneficiaries submitting an e-filed I-765 via myUSCIS to apply for employment authorization. These applications include a digital ID photo of the applicant, which will be printed on their Employment Authorization Document (EAD) card if the application is accepted. The use case determines whether a user-uploaded ID photo is suitable for use on an EAD card, and notifies the submitter if it detects a potential quality issue with the photo. (SEE DHS CAIO SUPER MEMO FY24) --- The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The AI outputs are a real-time advisory message to the submitter of the photo that it is of insufficient quality for card production at which point the submitter may choose to resubmit or not. While adjudication of EADs is not dependent on this use case, this tool enhances efficiency and customer service by minimizing the number of cards failing in production and delays related to subsequent requests for information. (SEE USCIS REQUEST FOR DHS CAIO DETERMINATION FY24)",,,,,,,,,[]
DHS-2543,DHS,USCIS,AI Security and Monitoring,Deployed,declassified,"The gateway will secure enterprise AI use by discovering shadow AI, enforcing guardrails, and preventing data spills. Its benefits include improved compliance, reduced risk, real time protection, and enhanced visibility. Organizations are empowered to securely and efficiently adopt AI.",Cybersecurity,Generative AI,Lasso,Vendor Purchased,,2025-03-31 00:00:00,Yes,[],This use case collates information provided by or authorized to be collected by an employee as part of network security process. The collated information supports decisions about staffing priorities but is not used to make security-related or employment-related decisions.,,,,,,,,,[]
DHS-372,DHS,USCIS,User Entity and Behavior Analytics (UEBA) for Security Operations (SecOps) Anomaly Identification,Deployed,declassified,"UEBA's purpose is to review USCIS system logs to determine when an entity is performing actions that are anomalous. An entity can be classified as a workstation, server or an internal USCIS system account. The UEBA ingests logs from systems to perform analytics based off of models that are manually created and maintained. UEBA uses the models to apply a risk score to the entity which the risk score is then used to create a case (or ticket) for Security Operations analyst review. The AI reviews the action of the analyst to adjust the risk scoring for future events. Output would assist in prioritizing cyber events for further manual investigation.",Cybersecurity,Classical ML,Gurucul,Contracting and In House,,2024-08-17 00:00:00,No,[],This use case collates information provided by or authorized to be collected by an employee as part of network security process. The collated information supports decisions about staffing priorities but is not used to make security-related or employment-related decisions.,,,,,,,,,[]
DHS-56,DHS,USCIS,Person-Centric Identity Services Information Compilation Check,Deployed,declassified,"The aim of this use case is to leverage machine learning to test the accuracy of PCIS to identify and manage associations between individuals and their assigned A-numbers, which is a unique 7, 8, or 9 digit number assigned to a noncitizen by DHS. The A-Number plays a critical role in surfacing of a person and all their associated records from across PCIS.",Law Enforcement,Classical ML,MetroIBR,Contracting and In House,,2022-07-01 00:00:00,Yes,[],"This use case verifies the ongoing accuracy of information compiled from within the Person-Centric Identity Services (PCIS). It identifies which records from within PCIS best match search criteria to support case processing. ------ The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The use case compiles records from across a variety of USCIS systems to provide a comprehensive history of a person’s interaction with USCIS. The output of this can be visualized through a report or dashboard to assist with case review ensuring access to helpful and accurate records. Adjudicators review the outputs of this use case, alongside other information and insights, to process a case and make a final determination. The adjudication process can be conducted without this tool, however, doing so would significantly increase the time and effort required to process immigration requests.",,,,,,,,,[]
DHS-16,DHS,USCIS,ELIS Evidence Classifier Service,Deployed,not-high-impact,"To enable end users to navigate directly to the page(s) containing evidence documents of interest instead of sifting through large PDF documents. Evidence tagging intends to accelerate case processing by identifying specific types of documents (e.g., I-589, passport photo spread, marriage certificate) and applying a metadata tag to that document object in ELIS. This way, when a user opens a case with potentially hundreds of pages of evidence documents, rather than scrolling through them one at a time to find a specific document of interest, they have clickable ""bookmarks"" in the UI generated from these tags that will jump directly to the corresponding page.",Service Delivery,Classical ML,SAIC and DV United,Contracting and In House,,2020-09-01 00:00:00,Yes,[],,,,,,,,,,[]
DHS-2385,DHS,USCIS,Intelligent Document Processing (IDP) for I-539 Form Digitization,Deployed,not-high-impact,"IDP for the I-539 makes use of an AI-enhanced tool to identify, categorize, and create separate images for each document type submitted as part of the 539 benefit application. Prior to implementation of this use case, all pages of a 539 application were scanned and stored as a single document in the content management system. The benefit is reduced case processing time for adjudicators by identifying and classifying supporting documents for ease of use. An additional benefit is to bring digital images into compliance with NARA standards.",Admin Functions,Computer Vision,CGI Federal under the Records Management Support Services (RMSS); Hyperscience - IDP software OEM,Contracting and In House,,2024-11-04 00:00:00,Yes,[],,,,,,,,,,[]
DHS-2598,DHS,USCIS,PDF Intake (PDFI) for myUSCIS,Deployed,not-high-impact,Develop a service that can extract relevant fields from a scanned PDF submitted through MyUSCIS and build a JSON as an output to the ELIS microservice. The new service will utilize AWS Bedrock provided foundation model. It is an engineering solution that minimizes development time to add new forms or form revisions with high accuracy.,Benefits Processing,Generative AI,Analytica and DV United,Contracting and In House,,2025-07-23 00:00:00,Yes,[],,,,,,,,,,[]
DHS-366,DHS,USCIS,AI Interview Simulator for Officer Training,Deployed,not-high-impact,The AI Interview Simulator mimics live interviews to provide an analysis of the type of responses elicited in a mock interview. This training platform accelerates the competency of the interviews by providing a format for the trainees to practice soliciting testimony from applicants through a chat-based user interface.,Admin Functions,Generative AI,"Steampunk, Customer Value Partners LLC (CVP) and Alpha Omega Integration (AOI)",Contracting and In House,,2025-09-08 00:00:00,No,[],,,,,,,,,,[]
DHS-414,DHS,USCIS,I-765 - USCIS Face Capture Mobile App,Retired,high-impact,,,,,,,,,[],,,,,,,,,,[]
DHS-57,DHS,USCIS,Identity Match Option (IMO) Tool for Record Compilation,Retired,declassified,,,,,,,,,[],"The use case compiles records from across a variety of USCIS systems to provide a comprehensive history of a person’s interaction with USCIS. The AI output can be visualized through a report or dashboard to assist with case review ensuring access to useful and accurate records. (SEE DHS CAIO SUPER MEMO FY24) ------ The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The use case compiles records from across a variety of USCIS systems to provide a comprehensive history of a person’s interaction with USCIS. The output of this can be visualized through a report or dashboard to assist with case review ensuring access to helpful and accurate records. Adjudicators review the outputs of this use case, alongside other information and insights, to process a case and make a final determination. The adjudication process can be conducted without this tool, however, doing so would significantly increase the time and effort required to process immigration requests.",,,,,,,,,[]
DHS-17,DHS,USCIS,Case Processing Improvements in FDNS-DS NexGen,Retired,not-high-impact,,,,,,,,,[],,,,,,,,,,[]
DHS-2544,DHS,USCIS,OCR for Scanning and Cataloging Documentation [Captiva Open Text],Retired,not-high-impact,,,,,,,,,[],,,,,,,,,,[]
DHS-2641,DHS,USSS,Enterprise WiFi,Pre-deployment,not-high-impact,Reduced time to resolve reported network issues and outages.,IT,Generative AI,,,,,,[],,,,,,,,,,[]
DHS-415,DHS,USSS,Criminal Investigations (OBIM),Deployed,high-impact,"The intended purpose of this AI is so that USSS personnel may submit available photographs or video stills of these unknown persons as probe images (facial images or templates searched against the gallery of an FRS) to other government agencies for comparison against their image galleries. The agencies will query their image galleries of known persons and may provide lists of potential matches. They may use the potential matches to produce investigative leads which will assist in the further identification of victims or suspects. Additionally, we may request another government agency to conduct a one-to-one comparison of two photographs or video stills for investigative use.",Law Enforcement,Computer Vision,NEC,Vendor Purchased,,2017-01-01 00:00:00,Yes,[],,Yes,Yes,"The product was developed by the NEC using AI and Deep Machine Learning to train the algorithm, however, the current NEC product that is used by OBIM in the production environment does not use AI to continue to train the NEC algorithm on production data. The fact that OBIM/NEC do not use AI on production data to continue to train the algorithm significantly limits the risks associated with the use of AI and ML on the face candidate list process.",CAIO Review,Yes - Monitoring Established,Training Established,Yes,Appeal Process Established,['Usability Testing']
DHS-2626,DHS,USSS,License Plate Reader,Deployed,not-high-impact,"The purpose of identifying license plate information from low-quality imagery is to enable accurate and efficient vehicle identification for applications such as law enforcement, traffic monitoring, parking management, border security, and access control, ensuring operational efficiency and enhanced security.",Law Enforcement,Computer Vision,Amped,Vendor Purchased,,2025-01-07 00:00:00,No,[],,,,,,,,,,[]
DOC-53,DOC,BEA,GitHub Copilot for Code Modernization,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-1,DOC,BEA,Meeting Transcription Summarization,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-5,DOC,Census,Real Time Classification for the Economic Census,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-56,DOC,Census,Automated Change Detection,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-57,DOC,Census,School staff information extraction from web page text,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-58,DOC,Census,Census Bureau Demographic Frame Person-Place Model,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-59,DOC,Census,Race and Ethnicity Autocoding,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-60,DOC,Census,Information extraction for web scraped data for Group Quarters frame enhancement,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-61,DOC,Census,Current Population Survey (CPS) Name Screening Tool,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-62,DOC,Census,Linkage and Matching Program (LaMP),,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-63,DOC,Census,Census Research Exploration and Analysis Tool (CREAT),,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-64,DOC,Census,Dr. NAICS LLM,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-65,DOC,Census,Automating Multilingual Census Data Processing: An AI and Transformer-Based Pipeline for Efficient Language Detection and Translation for Short-Text,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-66,DOC,Census,FAQ for SMaRT,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-67,DOC,Census,Statistical package syntax development and debugging,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-68,DOC,Census,DSD Python Code Translation,,unstated,,,,,,,,,[],,,,,,,,,,[]
DOC-69,DOC,Census,Census API GPT,,unstated,,,,,,,,,[],,,,,,,,,,[]
