agency,agency_name,id,use_case_name,agency_bureau,contact_email,is_withheld,development_stage,is_high_impact,HI_justification,topic_area,classification,problem_solved,benefits,system_outputs,operational_date,contracting_usage,vendor_name,have_ato,system_name_ato,data_description,link_to_data,has_pii,pia_url,demographic_features,has_custom_code,code_url,hi_testing_conducted,hi_assessment_completed,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
DOE,Department of Energy,DOE-663,Machine Learning for Autonomous Control of Scientific User Facilities,BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,"BNL will work alongside SLAC, to implement ML algorithm(s) into NSLS-II Operations to interpret accelerator data more intelligently.  We intend to train said algorithms with 5+ years of archived device-data from accelerator components, records of pre","BNL will work alongside SLAC, to implement ML algorithm(s) into NSLS-II Operations to interpret accelerator data more intelligently.  We intend to train said algorithms with 5+ years of archived device-data from accelerator components, records of previous fault causes (to connect to data-symptoms) and stored beam current.","BNL will work alongside SLAC, to implement ML algorithm(s) into NSLS-II Operations to interpret accelerator data more intelligently.  We intend to train said algorithms with 5+ years of archived device-data from accelerator components, records of previous fault causes (to connect to data-symptoms) and stored beam current.",,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-666,"Towards Edge Computing: A Software and Hardware Co-Design Methodology for Application-Specific Integrated
Circuit (ASIC)-based Scientific Neuromorphic Computing (NC)",BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,One project: Current deep neural network (DNN)-based Artificial Intelligence (AI) algorithms have already been successfully applied to particle physics applications. This project will develop a co-design approach for methodologies and their implement,One project: Current deep neural network (DNN)-based Artificial Intelligence (AI) algorithms have already been successfully applied to particle physics applications. This project will develop a co-design approach for methodologies and their implementation of edge computing for optimal handling of data streams,One project: Current deep neural network (DNN)-based Artificial Intelligence (AI) algorithms have already been successfully applied to particle physics applications. This project will develop a co-design approach for methodologies and their implementation of edge computing for optimal handling of data streams,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-668,AI/ML for Applications in High Energy adn Nuclear Physics,BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,Develop state-of-the-art cycle-consistent GANs to bridge the gap between simulations and experimental data; develop real-time particle tracking with deep learning on field programmable gate arrays; explore the challenges of deploying ML modeling onto,Develop state-of-the-art cycle-consistent GANs to bridge the gap between simulations and experimental data; develop real-time particle tracking with deep learning on field programmable gate arrays; explore the challenges of deploying ML modeling onto real-time inference hardware - for High Energy or Nuclear Physics,Develop state-of-the-art cycle-consistent GANs to bridge the gap between simulations and experimental data; develop real-time particle tracking with deep learning on field programmable gate arrays; explore the challenges of deploying ML modeling onto real-time inference hardware - for High Energy or Nuclear Physics,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-670,"RAPIDS3: A SciDAC Institute for Computer Science, Data, and Artificial Intelligence",BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,A SciDAC computer science institute and BNL is co-leading AI team,A SciDAC computer science institute and BNL is co-leading AI team,A SciDAC computer science institute and BNL is co-leading AI team,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-672,Use AI/ML to Enhance the Bioimaging Capabilities at Brookhaven National Laboratory (BNL),BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,Three projects: use expertise in ML as one element in building an integrated multiscale bioimaging capability at BNL; use AI/ML tools use to accelerate the analysis of protein structure and function; develop a high-resolution AI-led analysis of nondi,"Three projects: use expertise in ML as one element in building an integrated multiscale bioimaging capability at BNL; use AI/ML tools use to accelerate the analysis of protein structure and function; develop a high-resolution AI-led analysis of nondisrputive, time-resolved light microscopy images measured at lower spatial resolutions","Three projects: use expertise in ML as one element in building an integrated multiscale bioimaging capability at BNL; use AI/ML tools use to accelerate the analysis of protein structure and function; develop a high-resolution AI-led analysis of nondisrputive, time-resolved light microscopy images measured at lower spatial resolutions",,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-686,Automated sorting of high repetition rate coherent diffraction data from XFELS,BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,"'Coherent X-rays are routinely provided today by the latest Synchrotron and X-ray Free-electron Laser Sources. When these diffract from a crystal containing defects, interference leads to the formation of a modulated diffraction pattern called ''spec","'Coherent X-rays are routinely provided today by the latest Synchrotron and X-ray Free-electron Laser Sources. When these diffract from a crystal containing defects, interference leads to the formation of a modulated diffraction pattern called ''speckle''. When the defects move around, they can be quantified by a correlation analysis technique called X-ray Photon Correlation Spectroscopy. But the speckles also change when the beam moves on the sample. By scanning the beam in a controlled way, the overlap between the adjacent regions gives redundancy to the data, which allows a solution of the inherent phase problem. This is the basis of the coherent X-ray ptychography method which can achieve image resolutions of 10nm, but only if the probe positions are known.
The goal of this proposal will be to separate ''genuine'' fluctuations of a material sample from the inherent beam fluctuations at the high data rates of XFELs. Algorithms will be developed to calculate the correlations between all the coherent diffraction patterns arriving in a time series, then used to separate the two sources of fluctuation using the criterion that the ''natural'' thermal fluctuations do not repeat, while beam ones do.  We separate the data stream into image and beam ''modes'' automatically.'","'Coherent X-rays are routinely provided today by the latest Synchrotron and X-ray Free-electron Laser Sources. When these diffract from a crystal containing defects, interference leads to the formation of a modulated diffraction pattern called ''speckle''. When the defects move around, they can be quantified by a correlation analysis technique called X-ray Photon Correlation Spectroscopy. But the speckles also change when the beam moves on the sample. By scanning the beam in a controlled way, the overlap between the adjacent regions gives redundancy to the data, which allows a solution of the inherent phase problem. This is the basis of the coherent X-ray ptychography method which can achieve image resolutions of 10nm, but only if the probe positions are known.
The goal of this proposal will be to separate ''genuine'' fluctuations of a material sample from the inherent beam fluctuations at the high data rates of XFELs. Algorithms will be developed to calculate the correlations between",,,,,,],,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-712,Collaborative Machine learning platform for Scientific Discovery,BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,"New advances in scientific applied machine learning (ML) offer an opportunity to leverage the commonalities, scientific insights and collected experience of the larger scientific user facility community across different experiments and facilities.  T","New advances in scientific applied machine learning (ML) offer an opportunity to leverage the commonalities, scientific insights and collected experience of the larger scientific user facility community across different experiments and facilities.  The result will be a shared platform that lowers the barrier to enter by leveraging the advances in machine learning methods across user facilities thus empowering domain scientists and data scientists to discover new science using existing and new data with new tools","New advances in scientific applied machine learning (ML) offer an opportunity to leverage the commonalities, scientific insights and collected experience of the larger scientific user facility community across different experiments and facilities.  The result will be a shared platform that lowers the barrier to enter by leveraging the advances in machine learning methods across user facilities thus empowering domain scientists and data scientists to discover new science using existing and new data with new tools",,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-717,Tackling Solid-State Electrochemical Interfaces from Structure to Function Utilizing HPC and Machine Learning Tools,BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,Applying AI/ML methods to discover better solid state battery interface material using HPC,Applying AI/ML methods to discover better solid state battery interface material using HPC,Applying AI/ML methods to discover better solid state battery interface material using HPC,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-718,5G-enabled Reliable and Decentralized IoT Framework with Blockchain,BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,"We propose to develop an end-to-end, 5G-enabled, reliable, and decentralized IoT framework that improves data collection and communication among edge computing devices for science applications.","We propose to develop an end-to-end, 5G-enabled, reliable, and decentralized IoT framework that improves data collection and communication among edge computing devices for science applications.","We propose to develop an end-to-end, 5G-enabled, reliable, and decentralized IoT framework that improves data collection and communication among edge computing devices for science applications.",,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-730,AI/ML in Particle Accelerator Controls System,BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,Improving the safety and performance of particle accelerator operations through artificial intelligence assisted control systems.,Improving the safety and performance of particle accelerator operations through artificial intelligence assisted control systems.,Improving the safety and performance of particle accelerator operations through artificial intelligence assisted control systems.,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-745,AI/ML to design and optimize materials and their properties,BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,Design and optimize materials and their properties for Quantum Information Science and clean energy using AI/ML,Design and optimize materials and their properties for Quantum Information Science and clean energy using AI/ML,Design and optimize materials and their properties for Quantum Information Science and clean energy using AI/ML,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-750,Intelligent Acquisition and Reconstruction for Hyper-Spectral Tomography Systems,BNL - Brookhaven National Laboratory (SC43 OIM),,No,Pre-deployment,Not High-impact,Does not meet definition,Science,Classical ML,"We will develop artificial intelligence (AI) and machine learning (ML) algorithms to enable dramatic improvements in the throughput and performance of hyperspectral (i.e., multiple energies) computed tomography (HSCT) beamlines at DOE BES Scientific","We will develop artificial intelligence (AI) and machine learning (ML) algorithms to enable dramatic improvements in the throughput and performance of hyperspectral (i.e., multiple energies) computed tomography (HSCT) beamlines at DOE BES Scientific User Facilities (SUFs).  We will demonstrate the utility of our algorithms by carefully designing experiments for energy materials at HSCT beamlines available at the Spallation Neutron Source (SNS) and the National Synchrotron Light Source II (NSLS-II).  We will also develop AI driven data acquisition algorithms that will optimize the scanning strategy on-the-fly, in order to obtain the fewest yet most informative set of measurements (i.e. reducing beam time and/or number of projections in a data set).  Our team will provide ML based reconstruction algorithms that can produce high quality reconstructions from incomplete, sparse and low signal-to-noise ratio datasets enabling real-time feedback and ensuring best possible reconstruction on completion of the experiment.  Finally, our efforts will be available to the user community at both facilities via a general user interface.","We will develop artificial intelligence (AI) and machine learning (ML) algorithms to enable dramatic improvements in the throughput and performance of hyperspectral (i.e., multiple energies) computed tomography (HSCT) beamlines at DOE BES Scientific User Facilities (SUFs).  We will demonstrate the utility of our algorithms by carefully designing experiments for energy materials at HSCT beamlines available at the Spallation Neutron Source (SNS) and the National Synchrotron Light Source II (NSLS-II).  We will also develop AI driven data acquisition algorithms that will optimize the scanning strategy on-the-fly, in order to obtain the fewest yet most informative set of measurements (i.e. reducing beam time and/or number of projections in a data set).  Our team will provide ML based reconstruction algorithms that can produce high quality reconstructions from incomplete, sparse and low signal-to-noise ratio datasets enabling real-time feedback and ensuring best possible reconstruction on co",,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-520,NLP Data Analytics for Program and Portfolio Insights,EE HQ - EE Headquarters (EE),,No,Pre-deployment,Not High-impact,"Produces analytic insights only; does not affect rights, benefits, or binding decisions.",Admin Functions,NLP,Improve analytical capabilities and self service to organizational data.  Increase process efficiency and analytical insights.,"Faster and more consistent analysis, earlier risk detection, enhanced decision-making.","Dashboards, SQL Query results, structured datasets, extracted keywords, sentiment, thematic trends.",,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-548,OpenText for Records Management (Email Auto-Classification),EE HQ - EE Headquarters (EE),,No,Retired,Not High-impact,Does not fall within the requirements for high impact.,,,,,,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-595,AI and natural-language powered search,EE HQ - EE Headquarters (EE),,No,Deployed,Not High-impact,Does not fall within the requirements for high impact.,IT,Classical ML,Solve records retrieval issues.,Efficienct retrieval of records.,Open Text will generate a search results report.,2019-01-02 00:00:00,Vendor Purchased,OpenText,Yes,OpenText Axcelerate,Trained using existing  internal EERE records currated by subject matter experts.,,Yes,,['k) None of the above'],No,,,,,,,,,,[]
DOE,Department of Energy,DOE-622,"Enhancing the circularity: Cost effective battery de-energization, disassembly, and pre-processing (CEBDDP)",EE HQ - EE Headquarters (EE),,No,Pre-deployment,Not High-impact,Will serve as basis for decisions on use of end-of-first life batteries,Energy and Environment,Classical ML,Predict state of health and state of function of spent batteries,"Improved ability for prediction to enable potential reuse of batteries, towards reducing costs of batteries",Prediction of battery state of health,,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-641,AI Support Agent Chatbot,EE HQ - EE Headquarters (EE),,No,Pre-deployment,Not High-impact,Provides advisory information only; does not make binding decisions.,IT,Generative AI,Manual helpdesk tickets consume staff time and delay issue resolution.,"Reduce Tier-1 support time, improve satisfaction with 24/7 responses, free staff for complex issues.","Conversational responses, step-by-step guidance, and links to support documentation.",,,,,,,,,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-665,OpenText for Records Management (File share auto-classification),EE HQ - EE Headquarters (EE),,No,Deployed,Not High-impact,Does not fall within the requirements for high impact.,IT,Classical ML,Records retention and disposition.,Reduce time required to classify legacy records accumulated over 20 years.,OpenText will categorize each file located on the network drives.,2022-10-24 00:00:00,Vendor Purchased,OpenText,Yes,OpenText Decisiv,Trained using existing  internal EERE records currated by subject matter experts.,,Yes,,['k) None of the above'],No,,,,,,,,,,[]
DOE,Department of Energy,DOE-731,Expanding Consumer Participation in Consumer Electronics Recycling Programs Utilizing Targeted Marketing Campaigns,EE HQ - EE Headquarters (EE),,No,Pre-deployment,Not High-impact,Provides advisory information only. AI use will be used once to compile laws and regulations and will not be ongoing use.,Energy and Environment,NLP,Identify laws and regulations related to e-waste,Consolidate and provide a more convenient venue to find laws and regulations related to e-waste disposal and recycling,Text describing laws and regulations on e-waste disposal and recycling and links to support documentation,,,,,,,,No,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-738,FY19 Lab Call – Livewire Data Sharing Platform,EE HQ - EE Headquarters (EE),,No,Pre-deployment,Not High-impact,Exploring different methods to aid data discovery and providing data information within the platform,IT,Generative AI,"Lack of easily-accessible, organized information on transportation and mobility-related projects.",Enable time savings and quick answers to queries,GenAI chatbot feature providing info on datasets in the platform or FAQs on how to use the platform,,,,,,,,No,,[],,,,,,,,,,,[]
DOE,Department of Energy,DOE-440,DOE Technical Standards,EHSS HQ - Office of Environment Health Safety and Security (EHSS),,No,Deployed,Not High-impact,"The use of AI in this office does not serve as the principal basis for decisions or actions that have legal, material, binding, or significant effect on rights or safety. Its use is to enhance quality and technical accuracy",Admin Functions,Generative AI,Aid employees in improving the quality and technical accuracy of their work products.,"Enhance quality and accuracy of technical standards, supporting DOE's commitment to safety excellence.",Recommendations and feedback for improvement,2025-10-02 00:00:00,In-house Development,EnerGPT,No,,,,No,,[],No,,,,"The impacts are that the inputs feeding the answers generated by AI are not accurate and, therefore, lead to inaccurate output. For this reason, all use of AI by EHSS-11 is thoroughly vetted and checked by employees prior to consideration for use.",,,,,,[]
DOE,Department of Energy,DOE-450,MAPPRITE,EHSS HQ - Office of Environment Health Safety and Security (EHSS),,No,Pilot,Not High-impact,"MAPPRITE's AI does not provide outputs that serve as a principal basis for decisions or actions with legal, material, binding, or significant effects.",Other,Generative AI,"(1) The implemented AI will help automate data mining, ingesting, and indexing of existing disparate organizational data sources information for relevant safeguards and security (S&S) support information; and the (2) expected benefits will be to help","(1) The implemented AI will help automate data mining, ingesting, and indexing of existing disparate organizational data sources information for relevant safeguards and security (S&S) support information; and the (2) expected benefits will be to help improve EHSS-51 business workflows for researching potentially relevant S&S support data available such that the information will be accessible and searchable by policy subject matter specialists for awareness and additional context for strategic decision-making and policy management","In its full implementation phase, the application's AI output will provide S&S policy [support] data available such that the information will be accessible and searchable by policy subject matter specialists for strategic decision-making and policy management without having to manually search through hundreds of sources for relevant information.",2025-11-23 00:00:00,Contracting and In House,Special Technologies Laboratory (STL),Yes,Provisional Authorization to Operate (P-ATO) for the Methodology for Analyzing and Prioritizing Policy Requirements and Integrating Them for Effectiveness (MAPPRITE),"Department of Energy Directives. Requirement source documents, such as statutes, regulations and standards were also provided to the development team to assist with ingesting content to the AI model via AWS Kendra.",,Yes,,[],Yes,,,,,,,,,,[]
DOE,Department of Energy,DOE-510,Microsoft Bing Service,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-511,Ariculate 360 AI Assistant,EMLA - EM Los Alamos Field Site (EM),,No,Pre-deployment,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,,Vendor Purchased,Articulate,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-519,Visual Studio Enterprise,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-525,Microsoft OneNote,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-536,Microsoft Azure Authoring Tools,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-549,Apple Intelligence,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2024-10-28 00:00:00,Vendor Purchased,Apple,No,"GSS, ICS",Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-551,Microsoft ScreenSketch,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,Yes,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-552,Microsoft Visual C++ Additional Runtime,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-556,Microsoft Project,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-561,Google Chrome Generative AI,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,"Does not meet the criteria for High-Impact. Unless explicitly deployed in a safety-critical or classified environment, it should be considered Not High Impact.",IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-12-06 00:00:00,Vendor Purchased,Google,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-577,Microsoft Copilot,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-596,Microsoft Visual C++ Redistributable,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-599,Microsoft Teams,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-602,Microsoft Search in Bing,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-608,Microsoft Teams Classic,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-623,Microsoft MSPaint,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-631,Visual Studio Community,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-634,Microsoft OneDrive,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-651,Microsoft 365,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-667,Microsoft Visual C++ Minimum Runtime,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
DOE,Department of Energy,DOE-669,Microsoft OneDrive MUI,EMLA - EM Los Alamos Field Site (EM),,No,Deployed,Not High-impact,AI integrated into the software is solely used to provide a user with assistive functions.,IT,Generative AI,,AI was automatically integrated into the product without an identified benefit to the organization.,,2023-02-01 00:00:00,Vendor Purchased,Microsoft,No,GSS,Proprietary/unknown data set used for model training.,,No,,[],No,Not Available,In-progress,In-progress,"Unknown, see ""Comments"" field.",In-progress,In-progress,Training In-progress,Not Applicable,Not Applicable,['General solicitations of \ncomments from the public']
